"Lifting Point","Punct de ridicare"
"Package Opening","Deschidere colet"
"Insurance","Asigurare"
"Saturday Delivery","Livrare sambata"
"Morning Delivery","Livrare dimineata"
"Repayment","Ramburs"
"Payer","Platitor"
"Default Shipment Type","Tip expediere implicit"
"Service","Serviciu"
"Enabled","Activat"
"Key","Cheie"
"Username","Cont"
"Password","Parola"
"Debug","Depanati"
"Logger Enabled","Logare Activata"
"Sender","Expeditor"
"Consignee","Destinatar"
"Cash","Numerar"
"Account Collecting","Cont colector"
"Standard","Standard"
"Economic Standard","Economic Standard"
"Multipiece","Mai multe piese"
"Package","Pachet"
"Envelope","Plic"
"Yes","Da"
"No","Nu"
"Example: https://urgentcargus.azure-api.net/api/","Exemplu: https://urgentcargus.azure-api.net/api/"
"File: urgent_cargus.log","Fisier: urgent_cargus.log"
"The urgent cargus api is disabled!","API-ul Urgent Cargus este dezactivat!"
"Ordered","Comandata"
"Canceled","Anulata"
"Success!","Success!"
"Something went wrong! Please try again.","Ceva n-a mers bine! Va rugam sa incercati din nou."
"Countries were found"," de tari au fost gasite"
"Counties were found"," de judete au fost gasite"
"Cities were found"," de orase au fost gasite"
"No country is selected in the config!","Nu este nici o tara selectata in configuratie!"
"Nomenclature","Nomenclatura"
"Update","Actualizati"
"Countries","Tari"
"Update Countries","Actualizati tarile"
"Cron Schedule","Programul Cron"
"Location","Locatie"
"The location from where the packages are leaving.<br>It is used on delivery methods if you use dynamic price.","Locatia de unde pleaca pachetele.<br>Se foloseste la metodele de livrare daca utilizati pret dinamic."
"Default Values","Valori implicite"
"Length","Lungime"
"Please insert in cm","Va rugam sa introduceti in cm"
"Width","Latime"
"Please insert in cm","Va rugam sa introduceti in cm"
"Height","Inaltime"
"Please insert in cm","Va rugam sa introduceti in cm"
"Weight","Greutate"
"Please insert in kg","Va rugam sa introduceti in kg"
"County","Judet"
"If you don't see any value in the dropdown, you have to configure the nomenclature section and run the update","Daca nu vedeti nicio valoare in meniul derulant, trebuie sa configurati sectiunea de nomenclatura si sa rulati actualizarea"
"Please select","Va rog selectati"
"Consumer Return","Retur cumparator"
"Validity (days)","Validitate (zile)"
"No","Nu"
"Return code","Code de retur"
"Preprint","Pretiparit"
"Copied","Copiat"
